phase0,phase1,phase2,phase3,q_right,q_down,q_left,q_up,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,max_wait_right,max_wait_down,max_wait_left,max_wait_up,action
0.0,0.0,0.0,1.0,0.1,0.05,0.0,0.0,0.043472222222219754,0.008055555555555097,0.0,0.0,0.08694444444443951,0.008055555555555097,0.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.14111111111110308,0.09194444444443922,0.0,0.0,0.14111111111110308,0.09194444444443922,2
0.0,0.0,0.0,1.0,0.1,0.05,0.1,0.0,0.08499999999999516,0.2241666666666609,0.14499999999999175,0.0,0.16999999999999033,0.2241666666666609,0.18277777777776738,0.0,0
0.0,0.0,1.0,0.0,0.05,0.15,0.0,0.2,0.28694444444442857,0.199814814814804,0.0,0.15868055555555013,0.28694444444442857,0.2977777777777624,0.0,0.41888888888887943,3
0.0,0.0,1.0,0.0,0.15,0.0,0.0,0.25,0.06203703703703351,0.0,0.0,0.2224999999999911,0.1702777777777681,0.0,0.0,0.3830555555555485,3
1.0,0.0,0.0,0.0,0.0,0.15,0.1,0.1,0.0,0.15166666666665807,0.1697222222222126,0.004305555555555311,0.0,0.2247222222222095,0.22444444444443168,0.008611111111110622,1
1.0,0.0,0.0,0.0,0.05,0.05,0.15,0.0,0.0,0.4408333333333153,0.24111111111109743,0.0,0.0,0.4408333333333153,0.3994444444444218,0.0,2
0.0,0.0,0.0,1.0,0.15,0.25,0.0,0.05,0.2480555555555416,0.3843888888888674,0.0,0.0,0.5536111111110801,0.5644444444444139,0.0,0.0,1
0.0,1.0,0.0,0.0,0.15,0.0,0.1,0.35,0.038888888888886676,0.0,0.37694444444442304,0.310039682539667,0.09055555555555041,0.0,0.4055555555555325,0.6663888888888654,3
0.0,0.0,0.0,1.0,0.3,0.05,0.05,0.0,0.20754629629628452,0.09916666666666103,0.0,0.0,0.411944444444421,0.09916666666666103,0.0,0.0,0
0.0,0.0,1.0,0.0,0.1,0.05,0.05,0.0,0.10361111111110523,0.6741666666666355,0.0,0.0,0.20722222222221046,0.6741666666666355,0.0,0.0,0
0.0,1.0,0.0,0.0,0.3,0.0,0.35,0.15,0.30240740740739036,0.0,0.20948412698411517,0.2412037037036901,0.8702777777777287,0.0,0.6238888888888536,0.2613888888888741,2
1.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.89083333333329,0.18444444444443409,0.0,0.0,0.89083333333329,0.18444444444443409,0.0,0
0.0,0.0,0.0,1.0,0.15,0.0,0.15,0.05,0.3688888888888681,0.0,0.4735185185184917,0.0,0.4238888888888649,0.0,0.738888888888847,0.0,0
1.0,0.0,0.0,0.0,0.0,0.15,0.1,0.05,0.0,0.25240740740739315,0.23222222222220915,0.12611111111110393,0.0,0.4158333333333098,0.2661111111110961,0.12611111111110393,1
1.0,0.0,0.0,0.0,0.0,0.15,0.05,0.0,0.0,0.6466666666666324,0.40111111111108844,0.0,0.0,1.0,0.40111111111108844,0.0,1
1.0,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0,0.08736111111110614,0.696018518518479,0.10574074074073472,0.0,0.1747222222222123,0.972222222222167,0.1841666666666562,2
0.0,0.0,1.0,0.0,0.35,0.1,0.05,0.15,0.5601190476190159,0.11722222222221555,0.0,0.5745370370370044,1.0,0.2127777777777657,0.0,0.5947222222221885,0
0.0,1.0,0.0,0.0,0.3,0.05,0.25,0.05,0.2543981481481337,0.0,0.2541111111110967,0.39277777777775547,0.5127777777777488,0.0,0.5327777777777476,0.39277777777775547,0
0.0,0.0,1.0,0.0,0.0,0.15,0.0,0.15,0.0,0.2580555555555409,0.0,0.31231481481479706,0.0,0.40805555555553236,0.0,0.4174999999999763,1
0.0,1.0,0.0,0.0,0.2,0.05,0.1,0.1,0.5343055555555253,0.0,0.3643055555555349,0.04055555555555325,1.0,0.0,0.6844444444444057,0.0811111111111065,0
1.0,0.0,0.0,0.0,0.05,0.2,0.1,0.3,0.0,0.31097222222220455,0.14055555555554758,0.4557870370370111,0.0,0.54611111111108,0.28111111111109516,0.9280555555555029,3
1.0,0.0,0.0,0.0,0.05,0.05,0.25,0.1,0.0,0.2688888888888736,0.5588333333333017,0.39916666666664397,0.0,0.2688888888888736,0.8494444444443963,0.7094444444444041,2
0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.2,0.0,0.0,0.003333333333333144,0.47361111111108417,0.0,0.0,0.003333333333333144,0.6841666666666277,3
1.0,0.0,0.0,0.0,0.05,0.15,0.15,0.15,0.0,0.14444444444443624,0.49842592592589763,0.2818518518518358,0.0,0.3499999999999801,1.0,0.46444444444441807,1
0.0,0.0,1.0,0.0,0.05,0.2,0.0,0.15,0.2524999999999856,0.20513888888887724,0.0,0.4784259259258988,0.2524999999999856,0.5522222222221909,0.0,0.9927777777777214,1
0.0,0.0,0.0,1.0,0.15,0.45,0.15,0.05,0.17999999999998978,0.530401234567871,0.3441666666666471,0.0,0.31277777777776,0.8627777777777287,0.5977777777777438,0.0,1
0.0,1.0,0.0,0.0,0.1,0.05,0.2,0.2,0.09833333333341158,0.14805555555559355,0.5750694444445549,0.45527777777792106,0.19666666666682317,0.14805555555559355,1.0,0.7311111111112398,2
0.0,0.0,0.0,1.0,0.05,0.05,0.4,0.0,0.0,0.0,0.6711111111112518,0.0,0.0,0.0,1.0,0.0,2
0.0,1.0,0.0,0.0,0.1,0.0,0.15,0.15,0.25958333333341793,0.0,0.053333333333375775,0.745092592592749,0.5191666666668359,0.0,0.15861111111123732,1.0,2
0.0,1.0,0.0,0.0,0.3,0.0,0.15,0.1,0.29398148148163145,0.0,0.727500000000271,0.2801388888891118,0.6961111111113839,0.0,0.9811111111113677,0.31972222222247665,0
0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.2,0.485972222222487,0.0,0.0,0.7338194444447009,0.7525000000003549,0.0,0.0,1.0,3
0.0,0.0,1.0,0.0,0.15,0.2,0.0,0.3,0.233611111111297,0.1797222222223453,0.0,0.5411111111113958,0.4633333333337021,0.41444444444469447,0.0,0.9977777777781187,3
0.0,0.0,1.0,0.0,0.25,0.1,0.0,0.15,0.12711111111121226,0.22013888888906408,0.0,0.015000000000011938,0.3108333333335807,0.30027777777801673,0.0,0.04500000000003581,0
1.0,0.0,0.0,0.0,0.0,0.1,0.5,0.1,0.0,0.16125000000012832,0.6703888888891911,0.5968055555560305,0.0,0.18444444444459124,1.0,0.6363888888893954,2
0.0,0.0,0.0,1.0,0.1,0.1,0.05,0.05,0.7693055555560459,0.03805555555558584,0.0,0.0,1.0,0.061111111111159744,0.0,0.0,0
0.0,0.0,0.0,1.0,0.55,0.25,0.05,0.0,0.42575757575786877,0.39611111111141034,0.15611111111123535,0.0,0.9147222222226691,0.7311111111116131,0.15611111111123535,0.0,0
1.0,0.0,0.0,0.0,0.0,0.1,0.05,0.2,0.0,0.5034722222226229,0.0236111111111299,0.20604166666683063,0.0,0.5836111111115756,0.0236111111111299,0.3283333333335946,3
1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0.3547222222225045,0.13472222222232944,0.10439814814823123,0.0,0.3777777777780784,0.24888888888908695,0.2586111111113169,3
0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.2,0.06555555555560773,0.5779166666671266,0.0,0.5116666666670738,0.13111111111121546,0.6011111111115894,0.0,1.0,3
0.0,0.0,0.0,1.0,0.05,0.1,0.05,0.05,0.0,0.8201388888895416,0.3402777777780486,0.0,0.0,0.9002777777784943,0.3402777777780486,0.0,1
1.0,0.0,0.0,0.0,0.05,0.35,0.2,0.05,0.0,0.6592857142862275,0.26909722222243637,0.25000000000019895,0.0,1.0,0.6227777777782734,0.25000000000019895,1
