phase0,phase1,phase2,phase3,q_right,q_down,q_left,q_up,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,max_wait_right,max_wait_down,max_wait_left,max_wait_up,downstream_right,downstream_down,downstream_left,downstream_up,action
0.0,0.0,0.0,1.0,0.0,0.15,0.0,0.0,0.0,0.08231481481481183,0.0,0.0,0.0,0.18111111111110587,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,1
1.0,0.0,0.0,0.0,0.0,0.2,0.05,0.1,0.0,0.19965277777777388,0.0,0.1288888888888824,0.0,0.3158333333333259,0.0,0.23249999999998844,0.06666666666666667,0.0,0.0,0.06666666666666667,1
0.0,0.0,1.0,0.0,0.15,0.1,0.05,0.05,0.12018518518518077,0.20680555555554633,0.0,0.06583333333332965,0.16805555555555324,0.2644444444444345,0.0,0.06583333333332965,0.0,0.0,0.23333333333333334,0.1,1
1.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.048333333333330585,0.22444444444443173,0.0,0.0,0.048333333333330585,0.22444444444443173,0.0,0.13333333333333333,0.23333333333333334,0.0,0.0,2
0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.05,0.04372222222221975,0.0,0.0,0.0,0.10388888888888305,0.0,0.0,0.0,0.0,0.26666666666666666,0.13333333333333333,0.0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.35,0.15,0.0,0.0,0.08436507936507456,0.3245370370370192,0.0,0.0,0.26361111111109614,0.5158333333333057,0.23333333333333334,0.0,0.0,0.13333333333333333,3
0.0,1.0,0.0,0.0,0.15,0.0,0.15,0.05,0.33037037037035405,0.0,0.07694444444444007,0.2991666666666497,0.3702777777777568,0.0,0.20638888888887716,0.2991666666666497,0.0,0.0,0.3333333333333333,0.03333333333333333,0
0.0,0.0,1.0,0.0,0.1,0.05,0.0,0.0,0.11652777777777115,0.2649999999999849,0.0,0.0,0.19916666666665533,0.2649999999999849,0.0,0.0,0.06666666666666667,0.3333333333333333,0.0,0.0,1
1.0,0.0,0.0,0.0,0.0,0.05,0.1,0.1,0.0,0.006111111111110764,0.012222222222221527,0.1381944444444366,0.0,0.006111111111110764,0.024444444444443054,0.25027777777776355,0.0,0.16666666666666666,0.06666666666666667,0.0,2
0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.2,0.3165277777777598,0.0,0.0,0.34243055555553653,0.39916666666664397,0.0,0.0,0.6477777777777426,0.13333333333333333,0.3333333333333333,0.0,0.0,3
0.0,0.0,0.0,1.0,0.0,0.1,0.4,0.0,0.0,0.2463888888888749,0.27444444444442884,0.0,0.0,0.3727777777777566,0.5302777777777476,0.0,0.23333333333333334,0.0,0.0,0.2,2
1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.15824074074073174,0.3288888888888702,0.0,0.0,0.47305555555552864,0.5658333333333012,0.0,0.0,0.3333333333333333,0.2,3
0.0,0.0,1.0,0.0,0.0,0.15,0.0,0.15,0.0,0.10175925925925355,0.0,0.23527777777776449,0.0,0.2061111111110995,0.0,0.4502777777777523,0.0,0.3,0.13333333333333333,0.0,3
0.0,0.0,0.0,1.0,0.15,0.05,0.1,0.0,0.4389814814814566,0.0972222222222167,0.16055555555554643,0.0,0.6824999999999614,0.0972222222222167,0.23222222222220903,0.0,0.13333333333333333,0.2,0.0,0.0,0
0.0,0.0,0.0,1.0,0.05,0.1,0.35,0.05,0.0,0.12972222222221486,0.33920634920633,0.0,0.0,0.15805555555554657,0.7230555555555146,0.0,0.0,0.0,0.2,0.13333333333333333,2
0.0,0.0,0.0,1.0,0.05,0.2,0.0,0.0,0.0,0.29652777777776096,0.0,0.0,0.0,0.47277777777775104,0.0,0.0,0.0,0.4666666666666667,0.23333333333333334,0.0,1
0.0,0.0,1.0,0.0,0.05,0.15,0.0,0.05,0.1980555555555443,0.47314814814812134,0.0,0.13111111111110366,0.1980555555555443,0.7227777777777368,0.0,0.13111111111110366,0.4666666666666667,0.0,0.0,0.13333333333333333,1
1.0,0.0,0.0,0.0,0.05,0.05,0.2,0.05,0.0,0.3638888888888682,0.26638888888887374,0.015555555555554672,0.0,0.3638888888888682,0.4988888888888605,0.015555555555554672,0.16666666666666666,0.36666666666666664,0.0,0.0,2
0.0,1.0,0.0,0.0,0.3,0.0,0.05,0.0,0.36384259259257196,0.0,0.0,0.0,0.8666666666666175,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0
