timestamp,elapsed_s,mode,seed,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index
2026-02-26T07:50:51.507565,5.0,adaptive,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:50:51.507565,5.0,adaptive,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:50:56.511647,10.0,adaptive,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:50:56.511647,10.0,adaptive,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:50:56.511647,10.0,adaptive,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:50:56.511647,10.0,adaptive,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:01.514122,15.0,adaptive,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:01.514122,15.0,adaptive,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:01.514122,15.0,adaptive,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:01.514122,15.0,adaptive,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:06.527959,20.0,adaptive,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:06.527959,20.0,adaptive,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:06.527959,20.0,adaptive,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:06.527959,20.0,adaptive,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:11.538457,25.0,adaptive,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:11.538457,25.0,adaptive,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:11.538457,25.0,adaptive,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:11.538457,25.0,adaptive,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:22.102673,5.0,random,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:22.102673,5.0,random,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:22.102673,5.0,random,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:22.102673,5.0,random,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:27.106515,10.0,random,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:27.106515,10.0,random,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:27.106515,10.0,random,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:27.106515,10.0,random,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:32.115719,15.0,random,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:32.115719,15.0,random,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:32.115719,15.0,random,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:32.115719,15.0,random,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:37.130325,20.0,random,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:37.130325,20.0,random,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:37.130325,20.0,random,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:37.130325,20.0,random,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:42.135441,25.0,random,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:42.135441,25.0,random,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:42.135441,25.0,random,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:42.135441,25.0,random,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:47.154598,30.1,random,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:47.154598,30.1,random,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:47.154598,30.1,random,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:47.154598,30.1,random,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:52.168078,35.1,random,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:52.168078,35.1,random,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:52.168078,35.1,random,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:52.168078,35.1,random,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:57.180182,40.1,random,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:57.180182,40.1,random,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:57.180182,40.1,random,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:51:57.180182,40.1,random,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:02.186161,45.1,random,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:02.186161,45.1,random,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:02.186161,45.1,random,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:02.186161,45.1,random,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:07.186763,50.1,random,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:07.186763,50.1,random,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:07.186763,50.1,random,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:07.186763,50.1,random,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:12.200936,55.1,random,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:12.200936,55.1,random,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:12.200936,55.1,random,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:12.200936,55.1,random,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:17.205860,60.1,random,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:17.205860,60.1,random,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:17.205860,60.1,random,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:17.205860,60.1,random,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:22.218410,65.1,random,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:22.218410,65.1,random,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:22.218410,65.1,random,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:22.218410,65.1,random,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:27.218846,70.1,random,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:27.218846,70.1,random,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:27.218846,70.1,random,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:27.218846,70.1,random,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:32.221077,75.1,random,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:32.221077,75.1,random,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:32.221077,75.1,random,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:32.221077,75.1,random,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:37.232852,80.1,random,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:52:37.232852,80.1,random,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
